007000000500000006000920300008000005700200900000800470009305007640000000100006030,327564189594138726816927354438679215751243968962851473289315647643782591175496832|917563284532148796486927351398674125754231968261859473829315647643782519175496832|397564812524138796816927354438679125751243968962851473289315647643792581175486239|317568294592143786486927351938674125754231968261859473829315647643782519175496832|317568294592134786864927351438679125751243968926851473289315647643782519175496832|317568294592143786864927351438679125751234968926851473289315647643782519175496832|397564281524138796816927354438679125751243968962851473289315647643782519175496832
800000000000600401052090000000000008000027910000400700600000030040806007001000500,864315279379682451152794683527169348438527916916438725695271834243856197781943562|816543279937682451452791683724915368568327914193468725679154832245836197381279546|816534279397682451452791683724915368568327914139468725675149832243856197981273546|816543279973682451452791683724915368568327914139468725697154832245836197381279546|816543279937682451452791683174965328568327914329418765695174832243856197781239546|816743259739652481452198673174965328568327914923481765697514832245836197381279546|816743295793652481452198673274961358568327914139485762627514839945836127381279546|816743295739652481452198673274961358568327914193485762627514839945836127381279546|816543279739682451452791683174965328568327914923418765697154832245836197381279546
000000000006070005000005301008600009400050807037000000900000003010200000000001480,591423678326178945784965321158647239469352817237819564942786153815234796673591482|591423678346178925782965341158647239469352817237819564924786153815234796673591482|354129678186473925279865341528647139491352867637918254942786513815234796763591482|251463798386179245794825361128647539469352817537918624942786153815234976673591482|351469278286173945794825361128647539469352817537918624942786153815234796673591482|251463798396178245784925361128647539469352817537819624942786153815234976673591482|751423968396178245284965371128647539469352817537819624942786153815234796673591482|351429678286173945794865321128647539469352817537918264942786153815234796673591482|251463978396178245784925361128647539469352817537819624942786153815234796673591482|751423968386179245294865371128647539469352817537918624942786153815234796673591482|251463978386179245794825361128647539469352817537918624942786153815234796673591482
000000000008602000500009027000000506042700090803400000000080700160000009900000052,296173485478652913531849627719238546642715398853496271325981764164527839987364152|296173485478652913531849627719238546642715398853496271325981764167524839984367152
000300000013000004000250000030809000080000021009000000000900600100000005500060230,956384172213697854847251369731829546685473921429516783372945618168732495594168237|957348162213697584864251793731829456685473921429516378342985617196732845578164239|957384162213697854846251379731829546685473921429516783372945618168732495594168237|956347182213698754874251369431829576685473921729516843342985617168732495597164238|957341862213698574864257193431829756685473921729516348342985617196732485578164239|957384162213697584846251379431829756685473921729516843372945618168732495594168237|956347182213698754874251369731829546685473921429516873342985617168732495597164238|957348162213697854864251793431829576685473921729516348342985617196732485578164239|956384172213697584847251369431829756685473921729516843372945618168732495594168237|957341862213698754864257193431829576685473921729516348342985617196732485578164239|957341862213698754864257193731829546685473921429516378342985617196732485578164239|957348162213697854864251793731829546685473921429516378342985617196732485578164239|956347182213698574874251369431829756685473921729516843342985617168732495597164238|956348172213697584874251369431829756685473921729516843342985617168732495597164238|956348172213697854874251369731829546685473921429516783342985617168732495597164238
005900000000000108000070030800000000010020070040009005270600000001050320000008009,135982467427365198698471532869547213513826974742139685274693851981754326356218749|125983647397462158468175932836547291519826473742319865273691584981754326654238719|125983467367542198498176532839765241516824973742319685273691854981457326654238719|135982467762543198498176532827365941519824673346719285273691854981457326654238719|435981267796342158128576934857134692619825473342769815274693581981457326563218749|435981267796342158128576934867135492519824673342769815274693581981457326653218749|135982467762345198498176532827563941519824673346719285273691854981457326654238719|125983467367542198498176532832765941519824673746319285273691854981457326654238719
000600000002030006708005090000260000040700201800000300000010050600090000007000042,139674528452839716768125493571263984943758261826941375284317659615492837397586142|931674825452938716768125493173269584549783261826541379294317658685492137317856942|319674825452938716768125493971263584543789261826541379294317658685492137137856942|431679528592834716768125493175263984349758261826941375283417659614592837957386142|913674825452938716768125493371269584549783261826541379294317658685492137137856942|431679528952834716768125493175263984349758261826941375283417659614592837597386142|931674825452938716768125493179263584543789261826541379294317658685492137317856942|931674528452839716768125493175263984349758261826941375283417659614592837597386142|139674825452938716768125493971263584543789261826541379294317658685492137317856942|413679528592834716768125493175263984349758261826941375284317659651492837937586142|193674528452839716768125493571263984349758261826941375284317659615492837937586142
000500000005000070840000000020300000004000500960070400000008019200000047100690003,379586124615432978842917365521349786734861592968275431453728619296153847187694253|679581324315462978842937165528346791734219586961875432453728619296153847187694253|739586124615432978842917365528341796374269581961875432453728619296153847187694253|719562384635481972842937165521346798374819526968275431453728619296153847187694253|679581324315462978842937165521349786734816592968275431453728619296153847187694253|719586324635412978842937165528341796374269581961875432453728619296153847187694253|679532184315486972842917365528341796734869521961275438453728619296153847187694253|379586124615432978842917365528341796734269581961875432453728619296153847187694253|719586324635412978842937165521349786374861592968275431453728619296153847187694253|719562384635481972842937165528346791374819526961275438453728619296153847187694253|679512384315486972842937165528341796734869521961275438453728619296153847187694253|739586124615432978842917365521349786374861592968275431453728619296153847187694253
000000000060000205000180000000002006005000080104098000400000703000057009038040000,547269138861734295392185674983572416625413987174698352459821763216357849738946521|347925168861734295592186374983572416675413982124698537459861723216357849738249651|543726918861934275972185364387512496695473182124698537459861723216357849738249651|541263978863479215972185634387512496695734182124698357459821763216357849738946521|943725618861934275572186934387512496695473182124698357459861723216357849738249561|543726918861934275972185634387512496695473182124698357459861723216357849738249561|347925168861734295592186374983572416625413987174698532459861723216357849738249651|547926138861734295392185674983572416625413987174698352459861723216357849738249561|547269138861734295392185674983572416675413982124698357459821763216357849738946521|547926138861734295392185674983572416675413982124698357459861723216357849738249561
000300000005000001070000040006002080190000400000083000600000105000500690040910300,264371859385249761971658243436192587198765432752483916629834175813527694547916328|864321759325749861971865243436192587198657432752483916689234175213578694547916328|864371259325849761971265843436192587198657432257483916689734125713528694542916378
